Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-05-24),Price Override,Watchlist,Date Added,Notes,PC URL,PC Ungraded (Raw),PC Grade 8,PC Grade 9,PC Note,TCGplayer Raw Price,Avg Ungraded,PSA 8 Spread,PSA 9 Spread,PC Grade 10,PSA 10 Profit,PSA 9 Net,PSA 8 Net
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Blue-Eyes White Dragon (Dark Duel Stories),DDS-001,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,"2,550",0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-dark-duel-stories/blue-eyes-white-dragon-dds-001,1099.0,2425.0,3875.07,,1000.0,1049.5,1375.5,2825.57,14435.0,13355.5,2795.57,1345.5
Roy Yugioh,YuGiOh,Tournament Pack 2,Mikazukinoyaiba,TP2-006,Rare,Unlimited,PSA 10.0 GEM - MT,Near Mint,0,1,"1,200",0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-2nd-season/mikazukinoyaiba-tp2-006,52.19,49.03,92.71,,60.62,56.405,-7.375,36.30499999999999,2615.01,2528.605,6.304999999999993,-37.375
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Dark Magician (Dark Duel Stories),DDS-002,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,"1,075.91",0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-dark-duel-stories/dark-magician-dds-002,326.82,800.0,1003.75,,289.97,308.395,491.605,695.355,3454.57,3116.175,665.355,461.605
Roy Yugioh,YuGiOh,Magician's Force,Dark Magician Girl,MFC-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,957.69,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/dark-magician-girl-1st-edition-mfc-000,667.11,1322.13,3332.48,,759.74,713.425,608.7050000000002,2619.0550000000003,29200.0,28456.575,2589.0550000000003,578.7050000000002
Roy Yugioh,YuGiOh,Tournament Pack 2,Morphing Jar,TP2-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,849.99,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-2nd-season/morphing-jar-tp2-001,1097.0,1934.45,2249.74,,1499.9,1298.45,636.0,951.2899999999996,7500.0,6171.55,921.2899999999997,606.0
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Exodia the Forbidden One,LOB-124,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,838.31,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/exodia-the-forbidden-one-1st-edition-lob-124,401.0,897.11,2106.3,,413.0,407.0,490.11,1699.3000000000002,12355.5,11918.5,1669.3000000000002,460.11
Roy Yugioh,YuGiOh,Tournament Pack 1,Mechanicalchaser,TP1-001,Ultra Rare,Unlimited,Ungraded,Near Mint,0,2,691.99,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-1st-season/mechanicalchaser-tp1-001,615.45,818.7,1380.63,,,615.45,203.25,765.1800000000001,5000.0,4354.55,735.1800000000001,173.25
Roy Yugioh,YuGiOh,Tournament Pack 1,Mechanicalchaser,TP1-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,588.19,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-1st-season/mechanicalchaser-tp1-001,615.45,818.7,1380.63,,691.99,653.72,164.98000000000002,726.9100000000001,5000.0,4316.28,696.9100000000001,134.98000000000002
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Left Leg of the Forbidden One,LOB-121,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,425,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/left-leg-of-the-forbidden-one-1st-edition-lob-121,264.99,299.99,600.0,,236.44,250.715,49.275000000000006,349.285,8100.0,7819.285,319.28499999999997,19.275000000000006
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Right Arm of the Forbidden One,LOB-122,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,425,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/right-arm-of-the-forbidden-one-1st-edition-lob-122,169.29,421.86,737.5,,252.59,210.94,210.92,526.56,4010.0,3769.06,496.55999999999995,180.92000000000002
Roy Yugioh,YuGiOh,Pharaoh's Servant,Jinzo,PSV-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,416.49,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/jinzo-1st-edition-psv-000,335.0,700.0,1182.68,,263.94,299.47,400.53,883.21,9994.86,9665.390000000001,853.21,370.53
Roy Yugioh,YuGiOh,Tournament Pack 4,Royal Decree,TP4-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,339.17,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-4/royal-decree-tp4-001,213.52,271.66,387.5,,363.32,288.42,-16.75999999999999,99.07999999999998,3500.0,3181.58,69.07999999999998,-46.75999999999999
Roy Yugioh,YuGiOh,Tournament Pack 1,Axe Raider,TP1-002,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,295.32,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-1st-season/axe-raider-tp1-002,199.18,134.38,460.68,,262.47,230.82500000000002,-96.44500000000002,229.855,1743.22,1482.395,199.855,-126.44500000000002
Roy Yugioh,YuGiOh,Tournament Pack 3,Needle Worm,TP3-001,Ultra Rare,Unlimited,Ungraded,Near Mint,0,1,279.85,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-3rd-season/needle-worm-tp3-001,292.33,284.68,561.81,,,292.33,-7.649999999999977,269.48,15000.0,14677.67,239.47999999999996,-37.64999999999998
Roy Yugioh,YuGiOh,Tournament Pack 3,Needle Worm,TP3-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,237.87,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-tournament-pack-3rd-season/needle-worm-tp3-001,292.33,284.68,561.81,,279.85,286.09000000000003,-1.410000000000025,275.7199999999999,15000.0,14683.91,245.7199999999999,-31.410000000000025
