Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-05-24),Price Override,Watchlist,Date Added,Notes,PC URL,PC Ungraded (Raw),PC Grade 8,PC Grade 9,PC Note
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Blue-Eyes White Dragon (Dark Duel Stories),DDS-001,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,"2,550",0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DDS-001%20Blue-Eyes%20White%20Dragon&type=prices,1099.0,2425.0,3875.07,
Roy Yugioh,YuGiOh,Tournament Pack 2,Mikazukinoyaiba,TP2-006,Rare,Unlimited,PSA 10.0 GEM - MT,Near Mint,0,1,"1,200",0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP2-006%20Mikazukinoyaiba&type=prices,52.19,49.03,92.71,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Dark Magician (Dark Duel Stories),DDS-002,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,"1,075.91",0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DDS-002%20Dark%20Magician&type=prices,326.82,800.0,1003.75,
Roy Yugioh,YuGiOh,Magician's Force,Dark Magician Girl,MFC-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,957.69,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/dark-magician-girl-1st-edition-mfc-000,667.11,1322.13,3332.48,
Roy Yugioh,YuGiOh,Tournament Pack 2,Morphing Jar,TP2-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,849.99,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP2-001%20Morphing%20Jar&type=prices,1097.0,1934.45,2249.74,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Exodia the Forbidden One,LOB-124,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,838.31,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/exodia-the-forbidden-one-1st-edition-lob-124,401.0,897.11,2106.3,
Roy Yugioh,YuGiOh,Tournament Pack 1,Mechanicalchaser,TP1-001,Ultra Rare,Unlimited,Ungraded,Near Mint,0,2,691.99,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-001%20Mechanicalchaser&type=prices,615.45,818.7,1380.63,
Roy Yugioh,YuGiOh,Tournament Pack 1,Mechanicalchaser,TP1-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,588.19,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP1-001%20Mechanicalchaser&type=prices,615.45,818.7,1380.63,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Left Leg of the Forbidden One,LOB-121,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,425,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/left-leg-of-the-forbidden-one-1st-edition-lob-121,264.99,299.99,600.0,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Right Arm of the Forbidden One,LOB-122,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,425,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/right-arm-of-the-forbidden-one-1st-edition-lob-122,169.29,421.86,737.5,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Jinzo,PSV-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,416.49,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/jinzo-1st-edition-psv-000,335.0,700.0,1182.68,
Roy Yugioh,YuGiOh,Tournament Pack 4,Royal Decree,TP4-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,339.17,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=TP4-001%20Royal%20Decree&type=prices,213.52,271.66,387.5,
