Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-05-24),Price Override,Watchlist,Date Added,Notes
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Blue-Eyes White Dragon (Dark Duel Stories),DDS-001,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,"2,550",0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 2,Mikazukinoyaiba,TP2-006,Rare,Unlimited,PSA 10.0 GEM - MT,Near Mint,0,1,"1,200",0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Dark Magician (Dark Duel Stories),DDS-002,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,"1,075.91",0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Dark Magician Girl,MFC-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,957.69,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 2,Morphing Jar,TP2-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,849.99,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Exodia the Forbidden One,LOB-124,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,838.31,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,Mechanicalchaser,TP1-001,Ultra Rare,Unlimited,Ungraded,Near Mint,0,2,691.99,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,Mechanicalchaser,TP1-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,588.19,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Left Leg of the Forbidden One,LOB-121,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,425,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Right Arm of the Forbidden One,LOB-122,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,425,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Jinzo,PSV-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,416.49,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 4,Royal Decree,TP4-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,339.17,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,Axe Raider,TP1-002,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,295.32,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 3,Needle Worm,TP3-001,Ultra Rare,Unlimited,Ungraded,Near Mint,0,1,279.85,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 3,Needle Worm,TP3-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,237.87,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magician's Force,Dark Magician Girl,MFC-000,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,225.99,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 2,Dragon Seeker,TP2-002,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,221.79,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Red-Eyes Black Metal Dragon (Forbidden Memories),FMR-001,Prismatic Secret Rare,Limited,Ungraded,Lightly Played,0,1,207.87,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Exodia the Forbidden One (Dark Duel Stories),DDS-003,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,196.9,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 3,B. Skull Dragon,TP3-004,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,187.66,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Metal Raiders,Gate Guardian,MRD-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,177.2,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Elemental Energy,Pot of Avarice (UTR),EEN-EN037,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,137.96,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Metal Raiders,Time Wizard,MRD-065,Ultra Rare,1st Edition,Ungraded,Damaged,0,1,118.66,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,McDonald's Promo,Millennium Shield,MP1-001,Ultra Rare,Limited,Ungraded,Near Mint,0,1,98.3,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 2,Giant Red Seasnake,TP2-003,Super Rare,Unlimited,Ungraded,Near Mint,0,1,96.99,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,Patrol Robo,TP1-004,Super Rare,Unlimited,Ungraded,Near Mint,0,1,93.99,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,White Hole,TP1-005,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,90.7,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Blue-Eyes White Dragon,LOB-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,87.75,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Harpie's Pet Dragon (Forbidden Memories),FMR-002,Secret Rare,Limited,Ungraded,Lightly Played,0,1,86.09,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Metal Raiders,Kuriboh,MRD-071,Super Rare,1st Edition,Ungraded,Near Mint,0,2,84.62,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,McDonald's Promo,Millennium Shield,MP1-001,Ultra Rare,Limited,Ungraded,Lightly Played,0,1,83.56,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 2,Giant Red Seasnake,TP2-003,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,82.44,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,Patrol Robo,TP1-004,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,79.89,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Torrential Tribute,LON-025,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,78.47,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 1,Kwagar Hercules,TP1-003,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,77.32,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Magic Ruler,Mystical Space Typhoon,MRL-047,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,2,76.08,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 2,Call of the Grave,TP2-005,Super Rare,Unlimited,Ungraded,Near Mint,0,1,75.69,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Gemini Elf,LON-000,Secret Rare,1st Edition,Ungraded,Near Mint,0,1,71.87,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Dark Necrofear,LON-065,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,70.86,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Legacy of Darkness,Yata-Garasu,LOD-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,68.89,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Soul of the Duelist,Charcoal Inpachi (UTR),SOD-EN001,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,65.59,0,FALSE,2026-05-24,
Roy Yugioh,YuGiOh,Tournament Pack 2,Call of the Grave,TP2-005,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,64.34,0,FALSE,2026-05-24,
