id,name,set,num,sticker,raw,psa_8,psa_9,psa_10,url,note
1,Shiftry ex,power-keepers,97,50,34.99,93.92,149.95,815.0,https://www.pricecharting.com/game/pokemon-power-keepers/shiftry-ex-97,Success
2,Claydol ex,legend-maker,93,70,55.0,94.75,242.5,804.24,https://www.pricecharting.com/game/pokemon-power-keepers/claydol-ex-93?q=claydol+ex+93,Success
3,Medicham ex,emerald,95,80,78.0,79.22,322.76,960.63,https://www.pricecharting.com/game/pokemon-emerald/medicham-ex-95,Success
4,Mightyena ex,holon-phantoms,101,80,36.92,167.5,252.25,1891.25,https://www.pricecharting.com/game/pokemon-holon-phantoms/mightyena-ex-101,Success
5,Hitmonchan ex,ruby-&-sapphire,98,80,52.46,140.0,367.05,916.0,https://www.pricecharting.com/game/pokemon-ruby-&-sapphire/hitmonchan-ex-98,Success
6,Delcatty ex,crystal-guardians,91,80,56.99,118.6,235.4,1965.0,https://www.pricecharting.com/game/pokemon-crystal-guardians/delcatty-ex-91,Success
7,Shiftry ex,crystal-guardians,97,80,38.14,102.5,186.58,1592.91,https://www.pricecharting.com/game/pokemon-crystal-guardians/shiftry-ex-97,Success
8,Aggron ex,sandstorm,95,80,74.5,145.0,311.68,2212.48,https://www.pricecharting.com/game/pokemon-sandstorm/aggron-ex-95,Success
9,Sneasel ex,ruby-&-sapphire,103,85,39.61,130.0,257.45,2200.0,https://www.pricecharting.com/game/pokemon-ruby-&-sapphire/sneasel-ex-103,Success
10,Muk ex,dragon,96,100,55.0,130.18,132.92,1499.99,https://www.pricecharting.com/game/pokemon-dragon/muk-ex-96,Success
11,Wailord ex,sandstorm,100,130,94.87,219.0,308.82,1225.15,https://www.pricecharting.com/game/pokemon-sandstorm/wailord-ex-100,Success
12,Regirock ex,hidden-legends,98,150,139.13,167.6,310.07,763.0,https://www.pricecharting.com/game/pokemon-hidden-legends/regirock-ex-98,Success
13,Rayquaza ex,dragon,97,150,405.0,1099.0,2428.12,7400.0,https://www.pricecharting.com/game/pokemon-dragon/rayquaza-ex-97,Success
14,Flygon ex,legend-maker,87,180,85.0,254.0,671.15,775.0,https://www.pricecharting.com/game/pokemon-legend-maker/flygon-ex-87,Success
15,Arcanine ex,legend-maker,83,500,288.26,568.88,1060.45,3750.01,https://www.pricecharting.com/game/pokemon-legend-maker/arcanine-ex-83,Success
16,Salamence ex,deoxys,103,250,107.75,346.28,597.87,2105.0,https://www.pricecharting.com/game/pokemon-deoxys/salamence-ex-103,Success
17,Steelix ex,unseen-forces,109,250,96.9,331.01,647.36,4235.85,https://www.pricecharting.com/game/pokemon-unseen-forces/steelix-ex-109,Success
18,Vaporeon ex,delta-species,110,300,146.69,362.18,512.02,6700.0,https://www.pricecharting.com/game/pokemon-delta-species/vaporeon-ex-110,Success
19,Swampert ex,crystal-guardians,98,300,124.71,346.83,709.48,3243.58,https://www.pricecharting.com/game/pokemon-crystal-guardians/swampert-ex-98,Success
20,Zapdos ex,fire-red-&-leaf-green,116,150,119.73,349.02,502.5,3283.15,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/zapdos-ex-116,Success
21,Moltres ex,fire-red-&-leaf-green,115,200,90.26,284.22,573.91,1643.71,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/moltres-ex-115,Success
22,Articuno ex,fire-red-&-leaf-green,114,250,102.5,239.9,600.0,3950.0,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/articuno-ex-114,Success
23,Clefable ex,fire-red-&-leaf-green,106,100,64.64,170.0,190.0,1626.25,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/clefable-ex-106,Success
24,Aggron ex,crystal-guardians,89,140,46.74,153.91,302.5,1438.62,https://www.pricecharting.com/game/pokemon-crystal-guardians/aggron-ex-89,Success
25,Dustox ex,legend-maker,86,70,43.6,125.0,230.18,1958.14,https://www.pricecharting.com/game/pokemon-legend-maker/dustox-ex-86,Success
26,Rocket's Hitmonchan ex,team-rocket-returns,98,400,192.21,451.0,780.0,3962.54,https://www.pricecharting.com/game/pokemon-team-rocket-returns/rocket%27s-hitmonchan-ex-98,Success
27,Tyranitar ex,dragon-frontiers,99,350,114.92,342.14,437.77,1835.92,https://www.pricecharting.com/game/pokemon-dragon-frontiers/tyranitar-ex-99,Success
