ID	Name	Set	Card #	Sticker Price	PriceCharting Raw	PSA 8 Price	PSA 9 Price	PSA 10 Price	PriceCharting URL
1	Shiftry ex	power-keepers	97	$50.00	$34.99	$93.92	$149.95	$815.00	https://www.pricecharting.com/game/pokemon-power-keepers/shiftry-ex-97
2	Claydol ex	legend-maker	93	$70.00	$55.00	$94.75	$242.50	$804.24	https://www.pricecharting.com/game/pokemon-power-keepers/claydol-ex-93?q=claydol+ex+93
3	Medicham ex	emerald	95	$80.00	$78.00	$79.22	$322.76	$960.63	https://www.pricecharting.com/game/pokemon-emerald/medicham-ex-95
4	Mightyena ex	holon-phantoms	101	$80.00	$36.92	$167.50	$252.25	$1891.25	https://www.pricecharting.com/game/pokemon-holon-phantoms/mightyena-ex-101
5	Hitmonchan ex	ruby-&-sapphire	98	$80.00	$52.46	$140.00	$367.05	$916.00	https://www.pricecharting.com/game/pokemon-ruby-&-sapphire/hitmonchan-ex-98
6	Delcatty ex	crystal-guardians	91	$80.00	$56.99	$118.60	$235.40	$1965.00	https://www.pricecharting.com/game/pokemon-crystal-guardians/delcatty-ex-91
7	Shiftry ex	crystal-guardians	97	$80.00	$38.14	$102.50	$186.58	$1592.91	https://www.pricecharting.com/game/pokemon-crystal-guardians/shiftry-ex-97
8	Aggron ex	sandstorm	95	$80.00	$74.50	$145.00	$311.68	$2212.48	https://www.pricecharting.com/game/pokemon-sandstorm/aggron-ex-95
9	Sneasel ex	ruby-&-sapphire	103	$85.00	$39.61	$130.00	$257.45	$2200.00	https://www.pricecharting.com/game/pokemon-ruby-&-sapphire/sneasel-ex-103
10	Muk ex	dragon	96	$100.00	$55.00	$130.18	$132.92	$1499.99	https://www.pricecharting.com/game/pokemon-dragon/muk-ex-96
11	Wailord ex	sandstorm	100	$130.00	$94.87	$219.00	$308.82	$1225.15	https://www.pricecharting.com/game/pokemon-sandstorm/wailord-ex-100
12	Regirock ex	hidden-legends	98	$150.00	$139.13	$167.60	$310.07	$763.00	https://www.pricecharting.com/game/pokemon-hidden-legends/regirock-ex-98
13	Rayquaza ex	dragon	97	$150.00	$405.00	$1099.00	$2428.12	$7400.00	https://www.pricecharting.com/game/pokemon-dragon/rayquaza-ex-97
14	Flygon ex	legend-maker	87	$180.00	$85.00	$254.00	$671.15	$775.00	https://www.pricecharting.com/game/pokemon-legend-maker/flygon-ex-87
15	Arcanine ex	legend-maker	83	$500.00	$288.26	$568.88	$1060.45	$3750.01	https://www.pricecharting.com/game/pokemon-legend-maker/arcanine-ex-83
16	Salamence ex	deoxys	103	$250.00	$107.75	$346.28	$597.87	$2105.00	https://www.pricecharting.com/game/pokemon-deoxys/salamence-ex-103
17	Steelix ex	unseen-forces	109	$250.00	$96.90	$331.01	$647.36	$4235.85	https://www.pricecharting.com/game/pokemon-unseen-forces/steelix-ex-109
18	Vaporeon ex	delta-species	110	$300.00	$146.69	$362.18	$512.02	$6700.00	https://www.pricecharting.com/game/pokemon-delta-species/vaporeon-ex-110
19	Swampert ex	crystal-guardians	98	$300.00	$124.71	$346.83	$709.48	$3243.58	https://www.pricecharting.com/game/pokemon-crystal-guardians/swampert-ex-98
20	Zapdos ex	fire-red-&-leaf-green	116	$150.00	$119.73	$349.02	$502.50	$3283.15	https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/zapdos-ex-116
21	Moltres ex	fire-red-&-leaf-green	115	$200.00	$90.26	$284.22	$573.91	$1643.71	https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/moltres-ex-115
22	Articuno ex	fire-red-&-leaf-green	114	$250.00	$102.50	$239.90	$600.00	$3950.00	https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/articuno-ex-114
23	Clefable ex	fire-red-&-leaf-green	106	$100.00	$64.64	$170.00	$190.00	$1626.25	https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/clefable-ex-106
24	Aggron ex	crystal-guardians	89	$140.00	$46.74	$153.91	$302.50	$1438.62	https://www.pricecharting.com/game/pokemon-crystal-guardians/aggron-ex-89
25	Dustox ex	legend-maker	86	$70.00	$43.60	$125.00	$230.18	$1958.14	https://www.pricecharting.com/game/pokemon-legend-maker/dustox-ex-86
26	Rocket's Hitmonchan ex	team-rocket-returns	98	$400.00	$192.21	$451.00	$780.00	$3962.54	https://www.pricecharting.com/game/pokemon-team-rocket-returns/rocket%27s-hitmonchan-ex-98
27	Tyranitar ex	dragon-frontiers	99	$350.00	$114.92	$342.14	$437.77	$1835.92	https://www.pricecharting.com/game/pokemon-dragon-frontiers/tyranitar-ex-99
